	Id	v2a1	hacdor	rooms	hacapo	v14a	refrig	v18q	v18q1	r4h1	r4h2	r4h3	r4m1	r4m2	r4m3	r4t1	r4t2	r4t3	tamhog	tamviv	escolari	rez_esc	hhsize	cielorazo	dis	estadocivil1	estadocivil2	estadocivil3	estadocivil4	estadocivil5	estadocivil6	estadocivil7	parentesco1	parentesco2	parentesco3	parentesco4	parentesco5	parentesco6	parentesco7	parentesco8	parentesco9	parentesco10	parentesco11	parentesco12	idhogar	hogar_nin	hogar_adul	hogar_mayor	hogar_total	dependency	edjefe	edjefa	meaneduc	instlevel1	instlevel2	instlevel3	instlevel4	instlevel5	instlevel6	instlevel7	instlevel8	instlevel9	bedrooms	overcrowding	computer	television	mobilephone	qmobilephone	age	Target	MaterialPared	MaterialPiso	MaterialTecho	AbastecimientoAgua	AbastecimientoElectricidad	TipoSanitario	EnergiaCocina	EliminacionBasura	EstadoPared	EstadoTecho	EstadoPiso	Genero	TipoVivienda	Region	Zona
0	ID_279628684	190000.0	0	3	0	1	1	0		0	1	1	0	0	0	0	1	1	1	1	10		1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	21eb7fcc1	0	1	0	1	no	10	no	10.0	0	0	0	1	0	0	0	0	0	1	1.0	0	0	1	1	43	4	paredblolad	pisomoscer	techoentrepiso	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared2	etecho1	eviv1	male	tipovivi3	Central	Urbana
1	ID_f29eb3ddd	135000.0	0	4	0	1	1	1	1.0	0	1	1	0	0	0	0	1	1	1	1	12		1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0e5d7a658	0	1	1	1	8	12	no	12.0	0	0	0	0	0	0	0	1	0	1	1.0	0	0	1	1	67	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv2	male	tipovivi3	Central	Urbana
2	ID_68de51c94		0	8	0	1	1	0		0	0	0	0	1	1	0	1	1	1	1	11		1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2c7317ea8	0	1	1	1	8	no	11	11.0	0	0	0	0	1	0	0	0	0	2	0.5	0	0	0	0	92	4	paredmad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho3	eviv3	female	tipovivi1	Central	Urbana
3	ID_d671db89c	180000.0	0	5	0	1	1	1	1.0	0	2	2	1	1	2	1	3	4	4	4	9	1.0	4	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2b58d945f	2	2	0	4	yes	11	no	11.0	0	0	0	1	0	0	0	0	0	3	1.3333334	0	0	1	3	17	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared3	etecho3	eviv3	male	tipovivi3	Central	Urbana
4	ID_d56d6f5f5	180000.0	0	5	0	1	1	1	1.0	0	2	2	1	1	2	1	3	4	4	4	11		4	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2b58d945f	2	2	0	4	yes	11	no	11.0	0	0	0	0	1	0	0	0	0	3	1.3333334	0	0	1	3	37	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared3	etecho3	eviv3	female	tipovivi3	Central	Urbana
5	ID_ec05b1a7b	180000.0	0	5	0	1	1	1	1.0	0	2	2	1	1	2	1	3	4	4	4	11		4	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2b58d945f	2	2	0	4	yes	11	no	11.0	0	0	0	0	1	0	0	0	0	3	1.3333334	0	0	1	3	38	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared3	etecho3	eviv3	male	tipovivi3	Central	Urbana
6	ID_e9e0c1100	180000.0	0	5	0	1	1	1	1.0	0	2	2	1	1	2	1	3	4	4	4	2	0.0	4	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2b58d945f	2	2	0	4	yes	11	no	11.0	0	1	0	0	0	0	0	0	0	3	1.3333334	0	0	1	3	8	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared3	etecho3	eviv3	female	tipovivi3	Central	Urbana
7	ID_3e04e571e	130000.0	1	2	0	1	1	0		0	1	1	2	1	3	2	2	4	4	4	0	0.0	4	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	d6dae86b7	2	2	0	4	yes	9	no	10.0	1	0	0	0	0	0	0	0	0	1	4.0	0	0	1	1	7	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared1	etecho1	eviv2	female	tipovivi3	Central	Urbana
8	ID_1284f8aad	130000.0	1	2	0	1	1	0		0	1	1	2	1	3	2	2	4	4	4	9		4	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	d6dae86b7	2	2	0	4	yes	9	no	10.0	0	0	0	1	0	0	0	0	0	1	4.0	0	0	1	1	30	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared1	etecho1	eviv2	male	tipovivi3	Central	Urbana
9	ID_51f52fdd2	130000.0	1	2	0	1	1	0		0	1	1	2	1	3	2	2	4	4	4	11		4	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	d6dae86b7	2	2	0	4	yes	9	no	10.0	0	0	0	0	1	0	0	0	0	1	4.0	0	0	1	1	28	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared1	etecho1	eviv2	female	tipovivi3	Central	Urbana
